text,label,normalized,language_tags,phonetic
grocery shopping karna hai list ready,neutral,grocery shopping karna hai list ready,"['UNK', 'EN', 'HI', 'HI', 'UNK', 'UNK']",/groːkeːrj ʃoːppɪŋ kərnaː hɛː lɪst reːədj/
laundry karna hai weekend pe,neutral,laundry karna hai weekend pe,"['UNK', 'HI', 'HI', 'HI', 'HI']",/laʊndrj kərnaː hɛː wiːkeːnd peː/
call karna hai parents ko evening mein,neutral,call karna hai parents ko evening mein,"['EN', 'HI', 'HI', 'UNK', 'HI', 'EN', 'HI']",/kɔːl kərnaː hɛː pəreːnts koː eːveːnɪŋ mẽː/
presentation banana hai for tomorrow,neutral,presentation banana hai for tomorrow,"['EN', 'UNK', 'HI', 'EN', 'EN']",/prezənteɪʃən bənənə hɛː fɔːr təmɒroʊ/
bike service ke liye jaana hai,neutral,bike service ke liye jaana hai,"['UNK', 'UNK', 'HI', 'HI', 'HI', 'HI']",/bɪkeː sɜːrvɪs keː lɪjeː dʒaːnə hɛː/
electricity bill pay karna hai online,neutral,electricity bill pay karna hai online,"['UNK', 'UNK', 'UNK', 'HI', 'HI', 'UNK']",/eːleːktrɪkɪtj bɪll pəj kərnaː hɛː oːnlɪneː/
haircut karana hai bahut badh gaye,neutral,haircut karana hai bahut badh gaye,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'HI']",/haɪrkʊt kərənə hɛː bəhʊt bədʰ gəjeː/
meeting reschedule ho gayi to wednesday,neutral,meeting reschedule ho gayi to wednesday,"['EN', 'UNK', 'HI', 'HI', 'HI', 'UNK']",/miːtɪŋ reːstʃeːdʊleː hoː gəjiː toː weːdneːsdəj/
parcel aane wala hai tracking shows nearby,neutral,parcel aane wala hai tracking shows nearby,"['UNK', 'HI', 'UNK', 'HI', 'EN', 'UNK', 'UNK']",/pərkeːl aːneː wələ hɛː trəkkɪŋ ʃoːws neːərbj/
lunch mein kya khaya tell me,neutral,lunch mein kya khaya tell mein,"['EN', 'HI', 'HI', 'HI', 'EN', 'HI']",/lʌntʃ mẽː kjaː kʰəjə teːll mẽː/
office se nikla traffic dekh ke batata hun,neutral,office se nikla traffic dekh ke batata hun,"['EN', 'HI', 'UNK', 'EN', 'HI', 'HI', 'UNK', 'HI']",/ɒfɪs seː nɪklə træfɪk deːkʰ keː bətətə hũː/
abhi gym mein hun call back later,neutral,abhi gym mein hun call back later,"['HI', 'UNK', 'HI', 'HI', 'EN', 'UNK', 'UNK']",/əbʰiː gjm mẽː hũː kɔːl bæk leɪtər/
movie 7 baje start hai reach by 6:45,neutral,movie 7 baje start hai reach by 6:45,"['EN', 'UNK', 'UNK', 'EN', 'HI', 'UNK', 'EN', 'UNK']",/muːviː 7 bədʒeː stɑːrt hɛː reːətʃ baɪ 6:45/
sharma ji ka beta abroad ja raha,neutral,sharma ji ka beta abroad ja raha,"['UNK', 'HI', 'HI', 'UNK', 'UNK', 'HI', 'HI']",/ʃərmə dʒiː kaː beːtə əbroːəd dʒaː rəhaː/
new restaurant khula hai near office,neutral,new restaurant khula hai near office,"['EN', 'UNK', 'UNK', 'HI', 'UNK', 'EN']",/njuː reːstaʊrənt kʰʊlə hɛː neːər ɒfɪs/
metro se ja raha hun will take time,neutral,metro se ja raha hun will take time,"['UNK', 'HI', 'HI', 'HI', 'HI', 'UNK', 'UNK', 'HI']",/meːtroː seː dʒaː rəhaː hũː wɪl təkeː tɪmeː/
parking mil gayi coming up now,neutral,parking mil gayi coming up now,"['EN', 'HI', 'HI', 'EN', 'UNK', 'EN']",/pərkɪŋ mɪl gəjiː kʌmɪŋ ʊp naʊ/
battery low hai phone ki charge karna hai,neutral,battery low hai phone ki charge karna hai,"['UNK', 'UNK', 'HI', 'EN', 'HI', 'UNK', 'HI', 'HI']",/bətteːrj loːw hɛː foʊn kiː tʃərgeː kərnaː hɛː/
weather cloudy hai might rain later,neutral,weather cloudy hai might rain later,"['UNK', 'UNK', 'HI', 'UNK', 'UNK', 'UNK']",/weːətʰeːr klaʊdj hɛː mɪgʰt raɪn leɪtər/
sale lagi hai online checking deals,neutral,sale lagi hai online checking deals,"['UNK', 'UNK', 'HI', 'UNK', 'EN', 'UNK']",/səleː ləgɪ hɛː oːnlɪneː tʃeːkkɪŋ deːəls/
cousin ki shaadi hai next month,neutral,cousin ki shaadi hai next month,"['UNK', 'HI', 'HI', 'HI', 'UNK', 'EN']",/kaʊsɪn kiː ʃaːdɪ hɛː neːkst mʌnθ/
exam results aane wale hain waiting,neutral,exam results aane wale hai waiting,"['EN', 'UNK', 'HI', 'UNK', 'HI', 'EN']",/ɪgzæm reːsʊlts aːneː wəleː hɛː weɪtɪŋ/
password bhul gaya reset karna padega,neutral,password bhul gaya reset karna padega,"['UNK', 'UNK', 'HI', 'UNK', 'HI', 'UNK']",/pəsswoːrd bʰʊl gəjaː reːseːt kərnaː pədeːgə/
update install ho raha hai system pe,neutral,update install ho raha hai system pe,"['UNK', 'UNK', 'HI', 'HI', 'HI', 'UNK', 'HI']",/ʊpdəteː ɪnstəll hoː rəhaː hɛː sjsteːm peː/
file send kar di check your email,neutral,file send kar di check your email,"['UNK', 'UNK', 'HI', 'HI', 'UNK', 'EN', 'UNK']",/fɪleː seːnd kər dɪ tʃeːkk jɔːr eːmaɪl/
location share karta hun maps pe,neutral,location share karta hun maps pe,"['EN', 'UNK', 'HI', 'HI', 'UNK', 'HI']",/loːkətɪoːn ʃəreː kərtaː hũː məps peː/
table book karni hai for 4 people,neutral,table book karni hai for 4 people,"['EN', 'HI', 'UNK', 'HI', 'EN', 'UNK', 'UNK']",/təbleː buːk kərnɪ hɛː fɔːr 4 peːoːpleː/
swimming class join karni hai summer mein,neutral,swimming class join karni hai summer mein,"['EN', 'EN', 'UNK', 'UNK', 'HI', 'UNK', 'HI']",/swɪmmɪŋ klɑːs dʒɔɪn kərnɪ hɛː sʊmmeːr mẽː/
yaar ye film toh bahut fantastic thi,positive,yaar ye film toh bahut fantastic thi,"['HI', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI']",/jaːr jeː fɪlm toː bəhʊt fæntæstɪk tʰiː/
yaar ye movie toh bahut thi,positive,yaar ye movie toh bahut thi,"['HI', 'HI', 'EN', 'HI', 'HI', 'HI']",/jaːr jeː muːviː toː bəhʊt tʰiː/
finally exam khatam so feeling happy,positive,finally exam khatam so feeling happy,"['EN', 'EN', 'UNK', 'EN', 'EN', 'EN']",/faɪnəliː ɪgzæm xətəm soʊ fiːlɪŋ hæpiː/
exam so happy,positive,exam so happy,"['EN', 'EN', 'EN']",/ɪgzæm soʊ hæpiː/
exam feeling so happy,positive,exam feeling so happy,"['EN', 'EN', 'EN', 'EN']",/ɪgzæm fiːlɪŋ soʊ hæpiː/
amazing kya food mila loved it,positive,amazing kya food mila loved it,"['EN', 'HI', 'EN', 'HI', 'EN', 'EN']",/əmeɪzɪŋ kjaː fuːd mɪlaː loːveːd ɪt/
kya amazing mila food loved it,positive,kya amazing mila food loved it,"['HI', 'EN', 'HI', 'EN', 'EN', 'EN']",/kjaː əmeɪzɪŋ mɪlaː fuːd loːveːd ɪt/
kya amazing food mila it loved,positive,kya amazing food mila it loved,"['HI', 'EN', 'EN', 'HI', 'EN', 'EN']",/kjaː əmeɪzɪŋ fuːd mɪlaː ɪt loːveːd/
dost seriously this is the greatest day,positive,dost seriously this is the greatest day,"['HI', 'EN', 'EN', 'EN', 'HI', 'UNK', 'EN']",/doːst seːrɪaʊslj ðɪs ɪz tʰeː greːəteːst deɪ/
seriously bhai this is the best day,positive,seriously bhai this is the best day,"['EN', 'HI', 'EN', 'EN', 'HI', 'EN', 'EN']",/seːrɪaʊslj bʰaːiː ðɪs ɪz tʰeː best deɪ/
bhut achha experience tha really enjoyed,positive,bahut acha experience tha really enjoyed,"['HI', 'HI', 'UNK', 'HI', 'EN', 'EN']",/bəhʊt ətʃʰaː ɪkspɪərɪəns tʰaː rɪəliː ɪndʒɔɪd/
really acha experience thaa really enjoyed,positive,really acha experience tha really enjoyed,"['EN', 'HI', 'UNK', 'HI', 'EN', 'EN']",/rɪəliː ətʃʰaː ɪkspɪərɪəns tʰaː rɪəliː ɪndʒɔɪd/
mast yaar hai full paisa wasool,positive,mast yaar hai full paisa wasool,"['HI', 'HI', 'HI', 'UNK', 'HI', 'HI']",/məst jaːr hɛː fʊll pɛːsaː wəsuːl/
mast hai yr full paisa wasool,positive,mast hai yaar full paisa wasool,"['HI', 'HI', 'HI', 'UNK', 'HI', 'HI']",/məst hɛː jaːr fʊll pɛːsaː wəsuːl/
helpful thanks a lot,positive,helpful thanks a lot,"['UNK', 'EN', 'EN', 'UNK']",/heːlpfʊl θæŋks ə loːt/
finally got my dream job excited super,positive,finally got my dream job excited super,"['EN', 'EN', 'EN', 'UNK', 'EN', 'EN', 'UNK']",/faɪnəliː gɒt maɪ dreːəm dʒɒb ɪksaɪtɪd sʊpeːr/
finally got my dream job excited super,positive,finally got my dream job excited super,"['EN', 'EN', 'EN', 'UNK', 'EN', 'EN', 'UNK']",/faɪnəliː gɒt maɪ dreːəm dʒɒb ɪksaɪtɪd sʊpeːr/
ye song toh dil ko touch gaya kar,positive,ye song toh dil ko touch gaya kar,"['HI', 'EN', 'HI', 'UNK', 'HI', 'UNK', 'HI', 'HI']",/jeː sɒŋ toː dɪl koː taʊtʃ gəjaː kər/
ye song toh dil ko touch gaya kar,positive,ye song toh dil ko touch gaya kar,"['HI', 'EN', 'HI', 'UNK', 'HI', 'UNK', 'HI', 'HI']",/jeː sɒŋ toː dɪl koː taʊtʃ gəjaː kər/
ye song toh dil ko touch kar gayaa,positive,ye song toh dil ko touch kar gayaa,"['HI', 'EN', 'HI', 'UNK', 'HI', 'UNK', 'HI', 'HI']",/jeː sɒŋ toː dɪl koː taʊtʃ kər gəjaː/
bahut maza is trip mein,positive,bahut maza is trip mein,"['HI', 'UNK', 'EN', 'UNK', 'HI']",/bəhʊt məzə ɪz trɪp mẽː/
kaafi maza aaya is trip mein,positive,kaafi maza aaya is trip mein,"['HI', 'UNK', 'HI', 'EN', 'UNK', 'HI']",/kaːfɪ məzə aːjaː ɪz trɪp mẽː/
bahut aaya trip mein,positive,bahut aaya trip mein,"['HI', 'HI', 'UNK', 'HI']",/bəhʊt aːjaː trɪp mẽː/
kia zabardast performance loved was it,positive,kya zabardast performance loved was it,"['HI', 'HI', 'UNK', 'EN', 'EN', 'EN']",/kjaː zəbərdəst peːrfoːrmənkeː loːveːd wɒz ɪt/
aaj dinner absolutely was,positive,aaj dinner absolutely was,"['HI', 'EN', 'EN', 'EN']",/aːdʒ dɪnər əbsoːlʊteːlj wɒz/
this place is so beautiful yar,positive,this place is so beautiful yaar,"['EN', 'EN', 'EN', 'EN', 'EN', 'HI']",/ðɪs pleɪs ɪz soʊ bjuːtɪfʊl jaːr/
place this is so beautiful yaar,positive,place this is so beautiful yaar,"['EN', 'EN', 'EN', 'EN', 'EN', 'HI']",/pleɪs ðɪs ɪz soʊ bjuːtɪfʊl jaːr/
finally met my old friends kaafi khushi hui,positive,finally met my old friends kaafi khushi hui,"['EN', 'UNK', 'EN', 'EN', 'EN', 'HI', 'UNK', 'UNK']",/faɪnəliː meːt maɪ oʊld frendz kaːfɪ kʰʊʃɪ hʊɪ/
finally met my friends old bahut khushi hui,positive,finally met my friends old bahut khushi hui,"['EN', 'UNK', 'EN', 'EN', 'EN', 'HI', 'UNK', 'UNK']",/faɪnəliː meːt maɪ frendz oʊld bəhʊt kʰʊʃɪ hʊɪ/
finally met my old friends kaafi khushi hui,positive,finally met my old friends kaafi khushi hui,"['EN', 'UNK', 'EN', 'EN', 'EN', 'HI', 'UNK', 'UNK']",/faɪnəliː meːt maɪ oʊld frendz kaːfɪ kʰʊʃɪ hʊɪ/
an amazing concert totally it,positive,an amazing concert totally it,"['EN', 'EN', 'UNK', 'EN', 'EN']",/æn əmeɪzɪŋ koːnkeːrt toʊtəliː ɪt/
what an awesome concert totally worth it,positive,what an awesome concert totally worth it,"['EN', 'EN', 'EN', 'UNK', 'EN', 'UNK', 'EN']",/wɒt æn ɔːsəm koːnkeːrt toʊtəliː woːrtʰ ɪt/
bahut news mili aaj,positive,bahut news mili aaj,"['HI', 'UNK', 'HI', 'HI']",/bəhʊt neːws mɪliː aːdʒ/
bahut news acchi mili aaj great day,positive,bahut news acchi mili aaj great day,"['HI', 'UNK', 'UNK', 'HI', 'HI', 'EN', 'EN']",/bəhʊt neːws əktʃɪ mɪliː aːdʒ greɪt deɪ/
dost tere bina life was boring miss you,positive,dost tere bina life was boring miss you,"['HI', 'UNK', 'UNK', 'UNK', 'EN', 'HI', 'UNK', 'EN']",/doːst teːreː bɪnə lɪfeː wɒz boːrɪŋ mɪss juː/
yaar tere bina life thi boring miss you,positive,yaar tere bina life thi boring miss you,"['HI', 'UNK', 'UNK', 'UNK', 'HI', 'HI', 'UNK', 'EN']",/jaːr teːreː bɪnə lɪfeː tʰiː boːrɪŋ mɪss juː/
yaar tere bina life thi miss you,positive,yaar tere bina life thi miss you,"['HI', 'UNK', 'UNK', 'UNK', 'HI', 'UNK', 'EN']",/jaːr teːreː bɪnə lɪfeː tʰiː mɪss juː/
is hotel ki service ekdum first class hain,positive,is hotel ki service ekdum first class hai,"['EN', 'UNK', 'HI', 'UNK', 'UNK', 'UNK', 'EN', 'HI']",/ɪz hoːteːl kiː sɜːrvɪs eːkdʊm fɪrst klɑːs hɛː/
is hotel ki service ekdum first class is,positive,is hotel ki service ekdum first class is,"['EN', 'UNK', 'HI', 'UNK', 'UNK', 'UNK', 'EN', 'EN']",/ɪz hoːteːl kiː sɜːrvɪs eːkdʊm fɪrst klɑːs ɪz/
is hotel ki service ekdum first class he,positive,is hotel ki service ekdum first class hai,"['EN', 'UNK', 'HI', 'UNK', 'UNK', 'UNK', 'EN', 'HI']",/ɪz hoːteːl kiː sɜːrvɪs eːkdʊm fɪrst klɑːs hɛː/
mummy ke haath ka is khana the best,positive,mummy ke haath ka is khana the best,"['UNK', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'EN']",/mʊmmj keː haːtʰ kaː ɪz kʰaːnaː tʰeː best/
mummy haath ka khana is the best,positive,mummy haath ka khana is the best,"['UNK', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN']",/mʊmmj haːtʰ kaː kʰaːnaː ɪz tʰeː best/
finally weekend relaxing at home adore it,positive,finally weekend relaxing at home adore it,"['EN', 'HI', 'EN', 'EN', 'UNK', 'UNK', 'EN']",/faɪnəliː wiːkeːnd reːləksɪŋ æt hoːmeː ədoːreː ɪt/
finally weekend relaxing at love it,positive,finally weekend relaxing at love it,"['EN', 'HI', 'EN', 'EN', 'UNK', 'EN']",/faɪnəliː wiːkeːnd reːləksɪŋ æt loːveː ɪt/
finally relaxing weekend at home pyaar it,positive,finally relaxing weekend at home pyaar it,"['EN', 'EN', 'HI', 'EN', 'UNK', 'HI', 'EN']",/faɪnəliː reːləksɪŋ wiːkeːnd æt hoːmeː pjaːr ɪt/
party was lit bahut,positive,party was lit bahut,"['EN', 'EN', 'UNK', 'HI']",/pɑːrtiː wɒz lɪt bəhʊt/
bhai party lit bahut maza aaya,positive,bhai party lit bahut maza aaya,"['HI', 'EN', 'UNK', 'HI', 'UNK', 'HI']",/bʰaːiː pɑːrtiː lɪt bəhʊt məzə aːjaː/
bhai was party bahut maza aaya,positive,bhai was party bahut maza aaya,"['HI', 'EN', 'EN', 'HI', 'UNK', 'HI']",/bʰaːiː wɒz pɑːrtiː bəhʊt məzə aːjaː/
new phone is amazing features kamaal ke hain,positive,new phone is amazing features kamaal ke hai,"['EN', 'EN', 'EN', 'EN', 'UNK', 'HI', 'HI', 'HI']",/njuː foʊn ɪz əmeɪzɪŋ feːətʊreːs kəmaːl keː hɛː/
new phone is great features kamaal ke hain,positive,new phone is great features kamaal ke hai,"['EN', 'EN', 'EN', 'EN', 'UNK', 'HI', 'HI', 'HI']",/njuː foʊn ɪz greɪt feːətʊreːs kəmaːl keː hɛː/
teacher kaafi acche se everything,positive,teacher kaafi acche se everything,"['UNK', 'HI', 'UNK', 'HI', 'EN']",/teːətʃeːr kaːfɪ əktʃeː seː evriːθɪŋ/
teacher ne bhut acche samjhaya se understood everything,positive,teacher ne bahut acche samjhaya se understood everything,"['UNK', 'UNK', 'HI', 'UNK', 'UNK', 'HI', 'HI', 'EN']",/teːətʃeːr neː bəhʊt əktʃeː səmdʒʰəjə seː ʊndeːrstuːd evriːθɪŋ/
road trip superb was best memories ever,positive,road trip superb was best memories ever,"['UNK', 'UNK', 'UNK', 'EN', 'EN', 'UNK', 'UNK']",/roːəd trɪp sʊpeːrb wɒz best meːmoːrɪeːs eːveːr/
road trip was superb best ever memories,positive,road trip was superb best ever memories,"['UNK', 'UNK', 'EN', 'UNK', 'EN', 'UNK', 'UNK']",/roːəd trɪp wɒz sʊpeːrb best eːveːr meːmoːrɪeːs/
road trip was superb sabse acha memories ever,positive,road trip was superb sabse acha memories ever,"['UNK', 'UNK', 'EN', 'UNK', 'UNK', 'HI', 'UNK', 'UNK']",/roːəd trɪp wɒz sʊpeːrb səbseː ətʃʰaː meːmoːrɪeːs eːveːr/
coffee shop ki ambiance very soothing is,positive,coffee shop ki ambiance very soothing is,"['EN', 'UNK', 'HI', 'UNK', 'EN', 'EN', 'EN']",/kɒfiː ʃoːp kiː əmbɪənkeː veriː suːtʰɪŋ ɪz/
gym jaana kiya start feeling energetic,positive,gym jaana kya start feeling energetic,"['UNK', 'HI', 'HI', 'EN', 'EN', 'UNK']",/gjm dʒaːnə kjaː stɑːrt fiːlɪŋ eːneːrgeːtɪk/
promotion mil gayi finally hard work off paid,positive,promotion mil gayi finally hard work off paid,"['EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'UNK', 'UNK']",/proːmoːtɪoːn mɪl gəjiː faɪnəliː hɑːrd wɜːrk oːff paɪd/
promotion mil gayi finally hard work off paid,positive,promotion mil gayi finally hard work off paid,"['EN', 'HI', 'HI', 'EN', 'EN', 'EN', 'UNK', 'UNK']",/proːmoːtɪoːn mɪl gəjiː faɪnəliː hɑːrd wɜːrk oːff paɪd/
promotion mil finally gayi hard work paid off,positive,promotion mil finally gayi hard work paid off,"['EN', 'HI', 'EN', 'HI', 'EN', 'EN', 'UNK', 'UNK']",/proːmoːtɪoːn mɪl faɪnəliː gəjiː hɑːrd wɜːrk paɪd oːff/
pe beach so beautiful,positive,pe beach so beautiful,"['HI', 'UNK', 'EN', 'EN']",/peː beːətʃ soʊ bjuːtɪfʊl/
dekha sunset beach pe so beautiful,positive,dekha sunset beach pe so beautiful,"['HI', 'UNK', 'UNK', 'HI', 'EN', 'EN']",/deːkʰaː sʊnseːt beːətʃ peː soʊ bjuːtɪfʊl/
sunset dekha pe beach so beautiful,positive,sunset dekha pe beach so beautiful,"['UNK', 'HI', 'HI', 'UNK', 'EN', 'EN']",/sʊnseːt deːkʰaː peː beːətʃ soʊ bjuːtɪfʊl/
friends ke saath time spend do is priceless,positive,friends ke saath time spend do is priceless,"['EN', 'HI', 'HI', 'HI', 'UNK', 'HI', 'EN', 'UNK']",/frendz keː saːtʰ tɪmeː speːnd doː ɪz prɪkeːleːss/
friends ke saath time spend karo is priceless,positive,friends ke saath time spend karo is priceless,"['EN', 'HI', 'HI', 'HI', 'UNK', 'HI', 'EN', 'UNK']",/frendz keː saːtʰ tɪmeː speːnd kəroː ɪz prɪkeːleːss/
ke saath time spend karna is priceless,positive,ke saath time spend karna is priceless,"['HI', 'HI', 'HI', 'UNK', 'HI', 'EN', 'UNK']",/keː saːtʰ tɪmeː speːnd kərnaː ɪz prɪkeːleːss/
homemade pizza turned out zabardast first attempt,positive,homemade pizza turned out zabardast first attempt,"['UNK', 'UNK', 'EN', 'UNK', 'HI', 'UNK', 'UNK']",/hoːmeːmədeː pɪzzə tʊrneːd aʊt zəbərdəst fɪrst ətteːmpt/
homemade pizza turned out awesome first attempt,positive,homemade pizza turned out awesome first attempt,"['UNK', 'UNK', 'EN', 'UNK', 'EN', 'UNK', 'UNK']",/hoːmeːmədeː pɪzzə tʊrneːd aʊt ɔːsəm fɪrst ətteːmpt/
book very interesting was couldnt put it,positive,book very interesting was couldnt put it,"['HI', 'EN', 'EN', 'EN', 'UNK', 'UNK', 'EN']",/buːk veriː ɪntrəstɪŋ wɒz kaʊldnt pʊt ɪt/
book kaafi interesting was couldnt put it down,positive,book kaafi interesting was couldnt put it down,"['HI', 'HI', 'EN', 'EN', 'UNK', 'UNK', 'EN', 'UNK']",/buːk kaːfɪ ɪntrəstɪŋ wɒz kaʊldnt pʊt ɪt doːwn/
morning walk pe fresh feel ho raha,positive,morning walk pe fresh feel ho raha,"['EN', 'UNK', 'HI', 'UNK', 'EN', 'HI', 'HI']",/moːrnɪŋ wəlk peː freːʃ fiːl hoː rəhaː/
morning walk gya pe fresh feel ho rahaa,positive,morning walk gya pe fresh feel ho rahaa,"['EN', 'UNK', 'UNK', 'HI', 'UNK', 'EN', 'HI', 'HI']",/moːrnɪŋ wəlk gjə peː freːʃ fiːl hoː rəhaː/
birthday celebration was perfect thank all you,positive,birthday celebration was perfect thank all you,"['UNK', 'EN', 'EN', 'UNK', 'EN', 'UNK', 'EN']",/bɪrtʰdəj keːleːbrətɪoːn wɒz peːrfeːkt θæŋk əll juː/
birthday celebration perfect was thank you all,positive,birthday celebration perfect was thank you all,"['UNK', 'EN', 'UNK', 'EN', 'EN', 'EN', 'UNK']",/bɪrtʰdəj keːleːbrətɪoːn peːrfeːkt wɒz θæŋk juː əll/
was perfect thank you all,positive,was perfect thank you all,"['EN', 'UNK', 'EN', 'EN', 'UNK']",/wɒz peːrfeːkt θæŋk juː əll/
online course boht informative h learning a lot,positive,online course bahut informative hai learning a lot,"['UNK', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'EN', 'UNK']",/oːnlɪneː kaʊrseː bəhʊt ɪnfoːrmətɪveː hɛː leːərnɪŋ ə loːt/
online course boht informative hai a learning lot,positive,online course bahut informative hai a learning lot,"['UNK', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'EN', 'UNK']",/oːnlɪneː kaʊrseː bəhʊt ɪnfoːrmətɪveː hɛː ə leːərnɪŋ loːt/
online course very informative hai learning a lot,positive,online course very informative hai learning a lot,"['UNK', 'UNK', 'EN', 'UNK', 'HI', 'EN', 'EN', 'UNK']",/oːnlɪneː kaʊrseː veriː ɪnfoːrmətɪveː hɛː leːərnɪŋ ə loːt/
on train time aayi for once happy,positive,on train time aayi for once happy,"['EN', 'EN', 'HI', 'HI', 'EN', 'UNK', 'EN']",/ɒn treɪn tɪmeː aːjɪ fɔːr oːnkeː hæpiː/
train on aayi time for once glad,positive,train on aayi time for once glad,"['EN', 'EN', 'HI', 'HI', 'EN', 'UNK', 'UNK']",/treɪn ɒn aːjɪ tɪmeː fɔːr oːnkeː gləd/
train on time aayi for once excited,positive,train on time aayi for once excited,"['EN', 'EN', 'HI', 'HI', 'EN', 'UNK', 'EN']",/treɪn ɒn tɪmeː aːjɪ fɔːr oːnkeː ɪksaɪtɪd/
neighbours bahut lucky to them,positive,neighbours bahut lucky to them,"['UNK', 'HI', 'UNK', 'HI', 'EN']",/neːɪgʰbaʊrs bəhʊt lʊkkj toː ðem/
neighbours bhot helpful hain lucky to have them,positive,neighbours bahut helpful hai lucky to have them,"['UNK', 'HI', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'EN']",/neːɪgʰbaʊrs bəhʊt heːlpfʊl hɛː lʊkkj toː hæv ðem/
bahut neighbours helpful hain lucky to have them,positive,bahut neighbours helpful hai lucky to have them,"['HI', 'UNK', 'UNK', 'HI', 'UNK', 'HI', 'EN', 'EN']",/bəhʊt neːɪgʰbaʊrs heːlpfʊl hɛː lʊkkj toː hæv ðem/
credited salary finally shopping time,positive,credited salary finally shopping time,"['EN', 'UNK', 'EN', 'EN', 'HI']",/kreːdɪteːd sələrj faɪnəliː ʃoːppɪŋ tɪmeː/
salary finally time,positive,salary finally time,"['UNK', 'EN', 'HI']",/sələrj faɪnəliː tɪmeː/
plants grow ho rahe hain gardening therapeutic is,positive,plants grow ho rahe hai gardening therapeutic is,"['UNK', 'UNK', 'HI', 'HI', 'HI', 'EN', 'UNK', 'EN']",/plənts groːw hoː rəheː hɛː gərdeːnɪŋ tʰeːrəpeːʊtɪk ɪz/
childhood buddy se mila after years emotional moment,positive,childhood buddy se mila after years emotional moment,"['HI', 'UNK', 'HI', 'HI', 'EN', 'UNK', 'UNK', 'EN']",/tʃɪldʰuːd bʊddj seː mɪlaː ɑːftər jeːərs eːmoːtɪoːnəl moːmeːnt/
dost childhood se mila after years emotional moment,positive,dost childhood se mila after years emotional moment,"['HI', 'HI', 'HI', 'HI', 'EN', 'UNK', 'UNK', 'EN']",/doːst tʃɪldʰuːd seː mɪlaː ɑːftər jeːərs eːmoːtɪoːnəl moːmeːnt/
childhood buddy se mila after moment,positive,childhood buddy se mila after moment,"['HI', 'UNK', 'HI', 'HI', 'EN', 'EN']",/tʃɪldʰuːd bʊddj seː mɪlaː ɑːftər moːmeːnt/
gaya confident about results,positive,gaya confident about results,"['HI', 'UNK', 'EN', 'UNK']",/gəjaː koːnfɪdeːnt əbaʊt reːsʊlts/
interview accha gaya confident results about,positive,interview acha gaya confident results about,"['UNK', 'HI', 'HI', 'UNK', 'UNK', 'EN']",/ɪnteːrvɪeːw ətʃʰaː gəjaː koːnfɪdeːnt reːsʊlts əbaʊt/
home renovation complete looks now beautiful,positive,home renovation complete looks now beautiful,"['UNK', 'EN', 'UNK', 'HI', 'EN', 'EN']",/hoːmeː reːnoːvətɪoːn koːmpleːteː luːks naʊ bjuːtɪfʊl/
home renovation complete beautiful looks now,positive,home renovation complete beautiful looks now,"['UNK', 'EN', 'UNK', 'EN', 'HI', 'EN']",/hoːmeː reːnoːvətɪoːn koːmpleːteː bjuːtɪfʊl luːks naʊ/
home renovation complete looks beautiful abhi,positive,home renovation complete looks beautiful abhi,"['UNK', 'EN', 'UNK', 'HI', 'EN', 'HI']",/hoːmeː reːnoːvətɪoːn koːmpleːteː luːks bjuːtɪfʊl əbʰiː/
diet kar raha already seeing,positive,diet kar raha already seeing,"['UNK', 'HI', 'HI', 'EN', 'EN']",/dɪeːt kər rəhaː ɔːlrediː siːɪŋ/
surprise party for mom she was so glad,positive,surprise party for mom she was so glad,"['UNK', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'UNK']",/sʊrprɪseː pɑːrtiː fɔːr mɒm ʃiː wɒz soʊ gləd/
college memories yaad aa gayi acha old days,positive,college memories yaad aa gayi acha old days,"['EN', 'UNK', 'HI', 'HI', 'HI', 'HI', 'EN', 'UNK']",/kɒlɪdʒ meːmoːrɪeːs jaːd aː gəjiː ətʃʰaː oʊld dəjs/
college memories yaad aa gayi good days,positive,college memories yaad aa gayi good days,"['EN', 'UNK', 'HI', 'HI', 'HI', 'EN', 'UNK']",/kɒlɪdʒ meːmoːrɪeːs jaːd aː gəjiː gʊd dəjs/
college memories yaad aa gayi good days old,positive,college memories yaad aa gayi good days old,"['EN', 'UNK', 'HI', 'HI', 'HI', 'EN', 'UNK', 'EN']",/kɒlɪdʒ meːmoːrɪeːs jaːd aː gəjiː gʊd dəjs oʊld/
long drive gaye weather perfect tha,positive,long drive gaye weather perfect tha,"['EN', 'UNK', 'HI', 'UNK', 'UNK', 'HI']",/lɒŋ drɪveː gəjeː weːətʰeːr peːrfeːkt tʰaː/
long drive pe gaye weather perfect thaa,positive,long drive pe gaye weather perfect tha,"['EN', 'UNK', 'HI', 'HI', 'UNK', 'UNK', 'HI']",/lɒŋ drɪveː peː gəjeː weːətʰeːr peːrfeːkt tʰaː/
